pfr_player_id,pfr_player_name,team,opponent,season,week,def_sacks,def_pressures,position,defense_pct,position_group,def_sacks_last5,def_pressures_last5,opponent_oline_sacks_allowed_last5,is_dome,spread_line,total_line
AlleZa01,Zach Allen,ARI,KC,2022,1,0.0,4.0,DE,0.83,edge,,,,1,-6.0,54.0
CollZa00,Zaven Collins,ARI,KC,2022,1,0.0,2.0,LB,0.96,edge,,,,1,-6.0,54.0
SimmIs00,Isaiah Simmons,ARI,KC,2022,1,0.0,1.0,LB,0.87,edge,,,,1,-6.0,54.0
CartLo01,Lorenzo Carter,ATL,NO,2022,1,0.5,2.0,LB,0.84,edge,,,,1,-6.0,43.5
EvanRa01,Rashaan Evans,ATL,NO,2022,1,0.0,0.0,LB,0.98,edge,,,,1,-6.0,43.5
GrahTa00,Ta'Quon Graham,ATL,NO,2022,1,0.0,0.0,DE,0.61,edge,,,,1,-6.0,43.5
JarrGr00,Grady Jarrett,ATL,NO,2022,1,1.5,4.0,DT,0.74,interior,,,,1,-6.0,43.5
WalkMy00,Mykal Walker,ATL,NO,2022,1,1.0,1.0,LB,1.0,edge,,,,1,-6.0,43.5
HousJu00,Justin Houston,BAL,NYJ,2022,1,1.0,3.0,LB,0.64,edge,,,,0,6.5,44.0
OwehJa00,Odafe Oweh,BAL,NYJ,2022,1,0.0,1.0,LB,0.81,edge,,,,0,6.5,44.0
QueePa00,Patrick Queen,BAL,NYJ,2022,1,0.5,3.0,LB,1.0,edge,,,,0,6.5,44.0
EdmuTr01,Tremaine Edmunds,BUF,LA,2022,1,0.0,0.0,LB,0.99,edge,,,,1,1.0,51.5
JoneDa04,DaQuan Jones,BUF,LA,2022,1,0.0,1.0,DT,0.69,interior,,,,1,1.0,51.5
MilaMa00,Matt Milano,BUF,LA,2022,1,0.0,0.0,LB,0.99,edge,,,,1,1.0,51.5
RousGr00,Gregory Rousseau,BUF,LA,2022,1,1.0,2.0,DE,0.67,edge,,,,1,1.0,51.5
BurnBr00,Brian Burns,CAR,CLE,2022,1,0.0,2.0,DE,0.81,edge,,,,0,2.5,42.5
