rb_id,player_name,team,season,week,rushing_yards,attempts,offense_pct,opponent,opponent_rush_defense_rank,rb_rush_yards_last5,rb_rush_attempts_last5,rb_injury_status,is_dome,rest_advantage,spread_line,total_line
00-0032063,Mike Davis,ATL,2021,1,49.0,15,0.75,PHI,,,,0,0,0,3.5,49.0
00-0035250,Devin Singletary,BUF,2021,1,72.0,11,0.75,PIT,,,,0,0,0,6.5,48.0
00-0033280,Christian McCaffrey,CAR,2021,1,98.0,21,0.89,NYJ,,,,0,0,0,3.5,44.5
00-0033897,Joe Mixon,CIN,2021,1,127.0,29,0.78,MIN,,,,0,0,0,-3.0,47.0
00-0033045,Ezekiel Elliott,DAL,2021,1,33.0,11,0.83,TB,,,,0,0,0,-10.0,52.5
00-0036275,D'Andre Swift,DET,2021,1,39.0,11,0.68,SF,,,,0,1,0,-9.5,46.0
00-0035831,James Robinson,JAX,2021,1,25.0,5,0.63,HOU,,,,0,1,0,3.5,45.5
00-0036360,Clyde Edwards-Helaire,KC,2021,1,43.0,14,0.72,CLE,,,,0,0,0,5.5,54.5
00-0035664,Darrell Henderson,LA,2021,1,70.0,16,0.94,CHI,,,,0,1,0,9.5,46.0
00-0033893,Dalvin Cook,MIN,2021,1,61.0,20,0.71,CIN,,,,0,0,0,3.0,47.0
00-0033906,Alvin Kamara,NO,2021,1,83.0,20,0.73,GB,,,,0,0,0,-4.0,49.0
00-0035243,Miles Sanders,PHI,2021,1,74.0,15,0.66,ATL,,,,0,0,0,-3.5,49.0
00-0036893,Najee Harris,PIT,2021,1,45.0,16,1.0,BUF,,,,0,0,0,-6.5,48.0
00-0033594,Chris Carson,SEA,2021,1,91.0,16,0.78,IND,,,,0,1,0,3.0,49.0
00-0036567,Elijah Mitchell,SF,2021,1,104.0,19,0.64,DET,,,,0,1,0,9.5,46.0
00-0033856,Leonard Fournette,TB,2021,1,32.0,9,0.65,DAL,,,,0,0,0,10.0,52.5
00-0032764,Derrick Henry,TEN,2021,1,58.0,17,0.63,ARI,,,,0,0,0,2.5,54.0
00-0036328,Antonio Gibson,WAS,2021,1,90.0,20,0.65,LAC,,,,0,0,0,2.5,45.5
00-0034681,Chase Edmonds,ARI,2021,2,46.0,8,0.64,MIN,14.0,,,0,1,0,4.0,51.0
00-0032063,Mike Davis,ATL,2021,2,38.0,9,0.64,TB,2.0,49.0,15.0,0,0,-3,-13.5,52.0
00-0035250,Devin Singletary,BUF,2021,2,82.0,13,0.66,MIA,,72.0,11.0,0,0,0,3.5,48.0
00-0033280,Christian McCaffrey,CAR,2021,2,72.0,24,0.71,NO,,98.0,21.0,0,0,0,-3.0,45.0
00-0035685,David Montgomery,CHI,2021,2,61.0,20,0.8,CIN,7.0,,,0,0,0,2.0,44.5
00-0033897,Joe Mixon,CIN,2021,2,69.0,20,0.84,CHI,8.0,127.0,29.0,0,0,0,-2.0,44.5
00-0033045,Ezekiel Elliott,DAL,2021,2,71.0,16,0.71,LAC,11.0,33.0,11.0,0,1,3,-3.0,55.0
00-0036275,D'Andre Swift,DET,2021,2,37.0,8,0.63,GB,10.0,39.0,11.0,1,0,0,-11.5,49.5
00-0033293,Aaron Jones,GB,2021,2,67.0,17,0.69,DET,13.0,,,0,0,0,11.5,49.5
00-0035831,James Robinson,JAX,2021,2,47.0,11,0.73,DEN,,25.0,5.0,0,0,0,-6.0,45.0
00-0036360,Clyde Edwards-Helaire,KC,2021,2,46.0,13,0.65,BAL,,43.0,14.0,0,0,1,3.5,53.5
00-0035664,Darrell Henderson,LA,2021,2,53.0,13,0.68,IND,12.0,70.0,16.0,0,1,0,4.0,48.0
00-0033699,Austin Ekeler,LAC,2021,2,54.0,9,0.63,DAL,1.0,,,0,1,-3,3.0,55.0
00-0033118,Kenyan Drake,LV,2021,2,9.0,7,0.71,PIT,9.0,,,0,0,-1,-5.5,46.5
00-0035311,Myles Gaskin,MIA,2021,2,25.0,5,0.61,BUF,4.0,,,0,0,0,-3.5,48.0
00-0033893,Dalvin Cook,MIN,2021,2,131.0,22,0.77,ARI,6.0,61.0,20.0,0,1,0,-4.0,51.0
00-0033906,Alvin Kamara,NO,2021,2,5.0,8,0.84,CAR,,83.0,20.0,0,0,0,3.0,45.0
00-0034844,Saquon Barkley,NYG,2021,2,57.0,13,0.84,WAS,,,,1,0,0,-4.0,42.0
00-0035243,Miles Sanders,PHI,2021,2,55.0,13,0.67,SF,3.0,74.0,15.0,0,0,0,-3.0,49.0
00-0036893,Najee Harris,PIT,2021,2,38.0,10,0.95,LV,,45.0,16.0,0,0,1,5.5,46.5
