wr_id,player_name,team,season,week,receiving_yards,receptions,targets,offense_pct,opponent,opponent_pass_defense_rank,wr_rec_yards_last5,wr_receptions_last5,wr_targets_last5,target_share_last5,wr_injury_status,is_dome,rest_advantage,spread_line,total_line
00-0027942,A.J. Green,ARI,2022,1,13.0,2,4,0.74,KC,,,,,,0,1,0,-6.0,54.0
00-0035500,Greg Dortch,ARI,2022,1,63.0,7,9,0.91,KC,,,,,,0,1,0,-6.0,54.0
00-0035662,Marquise Brown,ARI,2022,1,43.0,4,6,0.95,KC,,,,,,0,1,0,-6.0,54.0
00-0035208,Olamide Zaccheaus,ATL,2022,1,49.0,4,4,0.6,NO,,,,,,0,1,0,-6.0,43.5
00-0037238,Drake London,ATL,2022,1,74.0,5,7,0.72,NO,,,,,,1,1,0,-6.0,43.5
00-0036550,Rashod Bateman,BAL,2022,1,59.0,2,5,0.66,NYJ,,,,,,0,0,0,6.5,44.0
00-0031588,Stefon Diggs,BUF,2022,1,122.0,8,9,0.64,LA,,,,,,0,1,0,1.0,51.5
00-0032688,Robbie Chosen,CAR,2022,1,102.0,5,8,1.0,CLE,,,,,,0,0,0,2.5,42.5
00-0034827,D.J. Moore,CAR,2022,1,43.0,3,6,1.0,CLE,,,,,,0,0,0,2.5,42.5
00-0036572,Shi Smith,CAR,2022,1,12.0,1,3,0.77,CLE,,,,,,0,0,0,2.5,42.5
00-0034279,Equanimeous St. Brown,CHI,2022,1,18.0,1,3,0.76,SF,,,,,,0,0,0,-6.5,38.0
00-0036309,Darnell Mooney,CHI,2022,1,8.0,1,3,0.9,SF,,,,,,0,0,0,-6.5,38.0
00-0033009,Tyler Boyd,CIN,2022,1,33.0,4,7,0.8,PIT,,,,,,0,0,0,7.5,44.5
00-0033114,Mike Thomas,CIN,2022,1,5.0,1,5,0.69,PIT,,,,,,0,0,0,7.5,44.5
00-0036900,Ja'Marr Chase,CIN,2022,1,129.0,10,16,1.0,PIT,,,,,,0,0,0,7.5,44.5
00-0031544,Amari Cooper,CLE,2022,1,17.0,3,6,0.83,CAR,,,,,,0,0,0,-2.5,42.5
00-0036233,Donovan Peoples-Jones,CLE,2022,1,60.0,6,11,0.83,CAR,,,,,,0,0,0,-2.5,42.5
00-0033591,Noah Brown,DAL,2022,1,68.0,5,9,0.88,TB,,,,,,0,1,0,-2.5,49.5
00-0036358,CeeDee Lamb,DAL,2022,1,29.0,2,11,0.97,TB,,,,,,0,1,0,-2.5,49.5
00-0034348,Courtland Sutton,DEN,2022,1,72.0,4,7,0.95,SEA,,,,,,0,0,0,6.0,44.0
00-0036407,Jerry Jeudy,DEN,2022,1,102.0,4,7,0.89,SEA,,,,,,0,0,0,6.0,44.0
00-0036412,K.J. Hamler,DEN,2022,1,0.0,0,1,0.61,SEA,,,,,,1,0,0,6.0,44.0
00-0033943,Josh Reynolds,DET,2022,1,28.0,1,3,0.8,PHI,,,,,,0,1,0,-6.0,49.0
00-0034777,D.J. Chark,DET,2022,1,52.0,4,8,0.81,PHI,,,,,,0,1,0,-6.0,49.0
00-0036963,Amon-Ra St. Brown,DET,2022,1,64.0,8,12,0.88,PHI,,,,,,0,1,0,-6.0,49.0
